,0,1,2,3,4,5
114,A R Adams,17/07/1975,New Zealand,1,42,4
115,C J Adams,06/05/1970,England,5,5,
116,J C Adams,09/01/1968,West Indies,54,127,
117,P R Adams,20/01/1977,South Africa,45,24,
118,B P Adapaka,25/06/1990,Hungary,,,17
119,N A T Adcock,08/03/1931,South Africa,26,,
120,S Adedeji,23/10/1996,Nigeria,,,43
121,Adeel Raja,15/08/1980,Netherlands,,21,
122,Adeel Shafique,07/06/1994,Oman,,2,
123,Adeel Tariq,30/11/1999,Austria,,,2
124,Adel Kolasangiani,18/11/1995,Iran,,,1
125,V D Adewoye,23/05/2000,Nigeria,,,31
126,H R Adhikari,31/07/1919,India,21,,
127,M Adhikari,12/12/1989,Bhutan,,,11
128,Adhitya Shetty,05/07/2004,United Arab Emirates,,1,
129,Adil Butt,31/03/1992,Saudi Arabia,,,3
130,Adil Hanif,25/02/1978,Bahrain,,,4
131,Adil Khan,18/08/2004,Germany,,,1
132,Aditya Panwar,07/09/1993,Estonia,,,6
133,Adnan Akmal,13/03/1985,Pakistan,21,5,
134,Adnan Gondal,26/05/1992,Portugal,,,2
135,Adnan Idrees,19/08/1990,Kuwait,,,42
136,Adnan Ilyas,30/12/1984,Oman,,,12
137,Adnan Mirza,16/02/1989,Qatar,,,14
138,Adnan Mufti,30/12/1984,United Arab Emirates,,18,1
139,Adnan Razzaq,07/09/1986,Belgium,,,10
140,N Advani,17/04/1987,Gibraltar,,,9
141,Afaq Hussain,31/12/1939,Pakistan,2,,
142,Afif Hossain,22/09/1999,Bangladesh,,34,70
143,Afif Khattak,12/12/1996,Switzerland,,,1
144,Afsar Zazai,10/08/1993,Afghanistan,8,17,8
145,Aftab Ahmed,10/11/1985,Bangladesh,16,85,11
146,Aftab Ahmed,22/04/1990,Denmark,,,4
147,Aftab Alam,30/11/1992,Afghanistan,,27,12
148,Aftab Baloch,01/04/1953,Pakistan,2,,
149,Aftab Gul,31/03/1946,Pakistan,6,,
150,Aftab Hussain,17/11/1997,Hong Kong,,,10
151,Aftab Kayani,20/10/1982,Romania,,,9
152,U Afzaal,09/06/1977,England,3,,
153,Afzaal Haider,12/12/1971,Hong Kong,,4,
154,R G Aga,10/07/1984,Kenya,,12,20
155,R Agamiire,19/05/1999,Uganda,,,2
156,A C Agar,14/10/1993,Australia,5,22,49
157,W A Agar,05/02/1997,Australia,,2,
158,A B Agarkar,04/12/1977,India,26,191,4
159,M A Agarwal,16/02/1991,India,21,5,
160,Agha Saadat Ali,21/06/1929,Pakistan,1,,
161,Agha Zahid,07/01/1953,Pakistan,1,,
162,G J Agius,25/11/1994,Malta,,,2
163,J P Agnew,04/04/1960,England,3,3,
164,P Agnihotri,10/06/1994,Norway,,,2
165,F S Ahangama,14/09/1959,Sri Lanka,3,1,
166,B Ahir,02/03/2001,Panama,,,7
167,D Ahir,22/01/1981,Panama,,,5
168,J K C Ahir,06/07/2001,Panama,,,3
169,K B Ahir,12/01/1986,Panama,,,15
170,K D Ahir,09/11/1975,Panama,,,3
171,N Ahir,08/06/1998,Panama,,,11
172,P S B Ahir,12/02/2001,Panama,,,4
173,R D B Ahir,19/12/1995,Panama,,,15
174,S K Ahir,20/06/1992,Panama,,,6
175,S A Ahmad,11/04/1998,Denmark,,,33
176,Ahmad Khalid Ahmadzai,31/12/1993,Belgium,,,6
177,Ahmad Ramdoni,,Indonesia,,,47
178,Ahmad Raza,15/09/2004,Saudi Arabia,,,5
179,A Ahmadhel,01/06/2001,Bulgaria,,,12
180,Ahmadi Ravat,15/03/1994,Panama,,,2
181,Ahmadullah Shinwari,30/07/2000,Norway,,,11
182,K K Ahmed,05/12/1997,India,,11,18
183,R I Ahmed,03/01/1994,Netherlands,,,2
184,Ahmed Aqeel Wahid,23/11/2001,Malaysia,,,15
185,Ahmed Faiz,12/02/1988,Malaysia,,,81
186,Ahmed Hassan,01/07/1989,Maldives,,,21
187,Ahmed Hassan,18/06/1995,Switzerland,,,11
188,Ahmed Kamal,15/05/1977,Bangladesh,,1,
189,Ahmed Mehmood Patel,07/08/1993,Panama,,,9
190,Ahmed Raid,25/11/2000,Maldives,,,1
191,Ahmed Raza,10/10/1988,United Arab Emirates,,53,55
192,Ahmed Shah,20/10/1983,Afghanistan,,1,
193,Ahmed Shehzad,23/11/1991,Pakistan,13,81,59
194,Ahmed Wardak,13/01/1988,Germany,,,14
195,Ahmer Bin Nisar,11/11/1993,Bahrain,,,44
196,P Aho,02/03/2003,Nigeria,,,52
197,Ahsan Abbasi,24/08/1994,Hong Kong,,,6
198,Ahsan Ali,10/12/1993,Pakistan,,,2
199,Ahsan Khan,13/10/1994,Bulgaria,,,12
200,Ahsan Malik,29/08/1989,Netherlands,,12,31
201,Ahsan Ul Haq,16/10/1988,Kuwait,,,3
202,Ahsan Yousuf,25/05/1984,Austria,,,3
203,K K Ahuja,10/11/1978,Mexico,,,12
204,Aijaz Ali,20/06/1968,United States,,2,
205,Ainool Hafizs,15/03/1996,Malaysia,,,46
206,Ainool Haqqiem,27/03/2000,Malaysia,,,4
207,D S Airee,24/01/2000,Nepal,,60,74
208,K S Airee,19/12/2000,Nepal,,3,10
209,P S Airee,01/09/1992,Nepal,,,12
210,Aizaz Cheema,05/09/1979,Pakistan,7,14,5
211,Aizaz Khan,21/03/1993,Hong Kong,,19,85
212,D Ajekun,28/01/1997,Nigeria,,,29
213,Ajmal Shahzad,27/07/1985,England,1,11,3
214,C M Akachukwu,28/05/2000,Nigeria,,,15
215,F Akankwasa,22/12/2002,Uganda,,,32
216,Akash Babu,29/10/1990,Qatar,,,7
217,A Akash Deep,15/12/1996,India,7,,
218,Akbar Khan,25/02/1997,Hong Kong,,,7
219,Akeem Jordan,18/10/1994,West Indies,,2,
220,M Akhigbe,27/05/2002,Nigeria,,,4
221,Akhil Arjunan,15/06/1991,Finland,,,10
222,Akhil Kumar,20/10/2001,Canada,,3,6
223,Akhtar Sarfraz,20/02/1976,Pakistan,,4,
224,N N Akhter,05/01/1987,Malta,,,3
225,Akif Raja,24/11/1992,United Arab Emirates,,5,18
226,Akram Khan,01/11/1968,Bangladesh,8,44,
227,Akram Raza,22/11/1964,Pakistan,9,49,
228,Akramullah Malikzada,12/03/1993,Hungary,,,5
229,Akshay Daxini,23/10/1993,Croatia,,,4
230,Akshay Homraj,30/04/1996,United States,,8,
231,Akshaykumar Yadav,20/01/1999,Thailand,,,27
232,K Akurugoda,21/05/1991,Hungary,,,2
233,C Akyuz,01/06/1962,Turkey,,,1
234,Al Sahariar,23/04/1978,Bangladesh,15,29,
235,J C Alabaster,11/07/1930,New Zealand,21,,
236,Alam Nakash,21/12/1989,South Korea,,,10
237,Alam Talukdar,04/12/1968,Bangladesh,,2,
238,Alamgir Kabir,10/01/1981,Bangladesh,3,,
239,Al-Amin Hossain,01/01/1990,Bangladesh,7,15,31
240,Alawi Shukri,23/01/1990,United Arab Emirates,,1,
241,J D T Albertze,22/03/1985,Bermuda,,,4
242,J Albin,23/06/1998,Bulgaria,,,25
243,T M Alderman,12/06/1956,Australia,41,65,
