,0,1,2,3,4,5
1289,C B Clarke,07/04/1918,West Indies,3,,
1290,F Clarke,26/03/2005,Isle of Man,,,9
1291,M J Clarke,02/04/1981,Australia,115,245,34
1292,N E Clarke,22/06/1948,Netherlands,,5,
1293,R Clarke,29/09/1981,England,2,20,
1294,S Clarke,16/10/2003,Isle of Man,,,1
1295,S T Clarke,11/12/1954,West Indies,11,10,
1296,J A Clarkson,21/01/1997,New Zealand,,3,8
1297,D K J Claude,28/05/2002,Ivory Coast,,,5
1298,J C Clay,18/03/1898,England,1,,
1299,D Cleaver,01/01/1992,New Zealand,,1,9
1300,S L Clephane,04/08/2004,Czech Republic,,,2
1301,D C Cleverley,23/12/1909,New Zealand,2,,
1302,Clinton Rubagumya,28/11/1995,Rwanda,,,75
1303,G L Cloete,04/10/1992,South Africa,,,2
1304,D B Close,24/02/1931,England,22,3,
1305,J Clough,11/04/2004,Isle of Man,,,1
1306,J A K Cochran,15/07/1909,South Africa,1,,
1307,D L Cock,23/02/2003,Namibia,,16,5
1308,A Codrington,22/08/1975,Canada,,9,
1309,G R Codrington,26/11/1966,Canada,,17,
1310,S K Coen,14/10/1902,South Africa,2,,
1311,G Coetzee,02/10/2000,South Africa,4,14,10
1312,J Coetzee,15/01/1984,Thailand,,,20
1313,M Coetzee,12/10/1988,Hong Kong,,,28
1314,K J Coetzer,14/04/1984,Scotland,,89,70
1315,M Cohen,05/06/1992,Israel,,,3
1316,R Coker,19/09/2007,Sierra Leone,,,28
1317,S H M Colah,22/09/1902,India,2,,
1318,L J Coldwell,10/01/1933,England,7,,
1319,F R J Coleman,15/12/1991,Scotland,,16,1
1320,L A Collado,13/03/1993,Gibraltar,,,9
1321,D J Colley,15/03/1947,Australia,3,1,
1322,R O Collinge,02/04/1946,New Zealand,35,15,
1323,P D Collingwood,26/05/1976,England,68,197,36
1324,H L Collins,21/01/1888,Australia,19,,
1325,N G Collins,13/05/1994,Finland,,,24
1326,P T Collins,12/08/1976,West Indies,32,30,
1327,C D Collymore,21/12/1977,West Indies,30,84,
1328,I A Colquhoun,08/06/1924,New Zealand,2,,
1329,P G Coman,13/04/1943,New Zealand,,3,
1330,J M M Commaille,21/02/1883,South Africa,12,,
1331,J B Commins,19/02/1965,South Africa,3,,
1332,M Commins,02/01/1997,Ireland,2,2,
1333,D C S Compton,23/05/1918,England,78,,
1334,N R D Compton,26/06/1983,England,16,,
1335,J V Coney,21/06/1952,New Zealand,52,88,
1336,B E Congdon,11/02/1938,New Zealand,61,11,
1337,A Coningham,14/07/1863,Australia,1,,
1338,P Connell,13/08/1981,Ireland,,13,9
1339,A N Connolly,29/06/1939,Australia,29,1,
1340,C Connolly,22/08/2003,Australia,,2,2
1341,L N Constantine,21/09/1901,West Indies,18,,
1342,B R F Constanzo,06/06/2002,Chile,,,1
1343,A Conteh,08/12/1988,Gambia,,,9
1344,S Conteh,21/09/2003,Sierra Leone,,,33
1345,N J Contractor,07/03/1934,India,31,,
1346,D P Conway,08/07/1991,New Zealand,27,32,50
1347,D P Conyngham,10/05/1897,South Africa,1,,
1348,A N Cook,25/12/1984,England,161,92,4
1349,C Cook,23/08/1921,England,1,,
1350,F J Cook,1870,South Africa,1,,
1351,G Cook,09/10/1951,England,7,6,
1352,N G B Cook,17/06/1956,England,15,3,
1353,S C Cook,29/11/1982,South Africa,11,,
1354,S H Cook,29/01/1972,Australia,2,,
1355,S J Cook,31/07/1953,South Africa,3,4,
1356,A H C Cooper,02/09/1893,South Africa,1,,
1357,B B Cooper,15/03/1844,Australia,1,,
1358,B N Cooper,10/02/1992,Netherlands,,13,58
1359,T L W Cooper,26/11/1986,Netherlands,,32,33
1360,W H Cooper,11/09/1849,Australia,2,,
1361,M N R Cooray,20/10/1978,Maldives,,,7
1362,G A Cope,23/02/1947,England,3,2,
1363,M Cope,14/07/2000,Luxembourg,,,13
1364,W J Cope,16/10/1996,Luxembourg,,,33
1365,T A Copeland,14/03/1986,Australia,3,,
1366,W H Copson,27/04/1908,England,3,,
1367,B K B Corbin,16/10/1979,Cayman Islands,,,7
1368,D G Cork,07/08/1971,England,37,32,
1369,G E Corling,13/07/1941,Australia,5,,
1370,W L Cornford,25/12/1900,England,4,,
1371,R R S Cornwall,01/02/1993,West Indies,10,,
1372,M J Cosgrove,14/06/1984,Australia,,3,
1373,G J Cosier,25/04/1953,Australia,18,9,
1374,F A Cossa,01/06/1994,Mozambique,,,37
1375,J T Cottam,05/09/1867,Australia,1,,
1376,R M H Cottam,16/10/1944,England,4,,
1377,A Cotter,03/12/1884,Australia,21,,
1378,S J Cotter,29/06/1988,Samoa,,,16
1379,S S Cottrell,19/08/1989,West Indies,2,38,45
1380,N M Coulter-Nile,11/10/1987,Australia,,32,28
1381,G Coulthard,01/08/1856,Australia,1,,
1382,C J Coventry,26/02/1867,England,2,,
1383,C K Coventry,08/03/1983,Zimbabwe,2,39,13
1384,E J M Cowan,16/06/1982,Australia,18,,
1385,N G Cowans,17/04/1961,England,19,23,
1386,C S Cowdrey,20/10/1957,England,6,3,
1387,M C Cowdrey,24/12/1932,England,114,1,
1388,J Cowie,30/03/1912,New Zealand,9,,
1389,R M Cowper,05/10/1940,Australia,27,,
1390,J L Cox,28/06/1886,South Africa,3,,
1391,J M Cox,21/10/2000,England,,3,2
1392,A Coxon,18/01/1916,England,1,,
1393,I D Craig,12/06/1935,Australia,11,,
1394,M D Craig,23/03/1987,New Zealand,15,,
1395,R T Crandon,31/05/1983,West Indies,,1,
1396,M S Crane,18/02/1997,England,1,,2
1397,J Cranston,09/01/1859,England,1,,
1398,K Cranston,20/10/1917,England,8,,
1399,J F Crapp,14/10/1912,England,7,,
1400,J N Crawford,01/12/1886,England,12,,
1401,W P A Crawford,03/08/1933,Australia,4,,
1402,J P Crawley,21/09/1971,England,37,13,
1403,Z Crawley,03/02/1998,England,53,8,
1404,A G Cremer,19/09/1986,Zimbabwe,19,96,29
1405,G F Cresswell,22/03/1915,New Zealand,3,,
1406,G Cripps,19/10/1865,South Africa,1,,
1407,R J Crisp,28/05/1911,South Africa,9,,
1408,G J Crocker,16/05/1962,Zimbabwe,3,6,
1409,F S Crockwell,08/07/1985,Bermuda,,2,
1410,N R J Croes,13/12/1999,Netherlands,,13,9
1411,C E H Croft,15/03/1953,West Indies,27,19,
1412,R D B Croft,25/05/1970,England,21,50,
1413,I B Cromb,25/06/1905,New Zealand,5,,
1414,W J Cronje,25/09/1969,South Africa,68,188,
1415,D N Crookes,05/03/1969,South Africa,,32,
1416,D L S Croospulle,04/10/1998,Sri Lanka,,,1
1417,M H Cross,15/10/1992,Scotland,,101,76
1418,T Cross,30/04/1980,Estonia,,,2
1419,J J Crowe,14/09/1958,New Zealand,39,75,
1420,M D Crowe,22/09/1962,New Zealand,77,143,
1421,S Crowie,07/10/1992,St Helena,,,12
1422,C E Cuffy,08/02/1970,West Indies,15,41,
1423,D J Cullen,10/04/1984,Australia,1,5,
1424,D J Cullinan,04/03/1967,South Africa,70,138,
1425,C D Cumming,31/08/1975,New Zealand,11,13,
1426,A C Cummins,07/05/1966,West Indies,5,76,
1427,M L Cummins,05/09/1990,West Indies,14,11,
1428,P J Cummins,08/05/1993,Australia,67,90,57
1429,R S Cunis,05/02/1941,New Zealand,20,,
1430,R Cunningham,,Gibraltar,,,7
1431,S H Curnow,16/12/1907,South Africa,7,,
1432,B J Curran,07/06/1996,Zimbabwe,2,3,
1433,K M Curran,07/09/1959,Zimbabwe,,11,
1434,S M Curran,03/06/1998,England,24,35,58
1435,T K Curran,12/03/1995,England,2,28,30
1436,B J Currie,08/11/1998,Scotland,,9,15
1437,S W Currie,02/05/2001,Scotland,,3,
1438,T S Curtis,15/01/1960,England,5,,
1439,A R Cusack,29/10/1980,Ireland,,59,37
1440,J Cutinho,08/12/1983,Costa Rica,,,3
1441,T L Cutler,23/03/1982,Vanuatu,,,11
1442,W R Cuttell,13/09/1863,England,2,,
1443,B C J Cutting,30/01/1987,Australia,,4,7
1444,Y Cyusa,25/12/2006,Rwanda,,,15
1445,No. of Records = 328,,,,,
1446,,,,Detailed Profiles & Statistics,,
1447,Name,Born,Country (Current),Tests,ODIs,T20s
1448,O C Da Costa,11/09/1907,West Indies,5,,
1449,J Da Silva,19/06/1998,West Indies,33,2,
1450,K M Dabengwa,17/08/1980,Zimbabwe,3,37,8
1451,D Daesrath,04/07/1981,Canada,,4,1
1452,D K Dahani,20/02/1984,Iran,,,3
1453,V Dahiya,10/05/1973,India,2,19,
1454,D K Dahyabhai Ahir,03/07/1983,Panama,,,10
1455,M D Dai,30/05/1984,Papua New Guinea,,18,9
1456,H Dajc,01/04/1983,Serbia,,,2
1457,P Dakainivanua,30/03/1989,Fiji,,,10
1458,C J Dala,29/12/1989,South Africa,,2,10
1459,A C Dale,30/12/1968,Australia,2,30,
1460,M Dale-Bradley,19/07/1987,Guernsey,,,14
1461,A Dalpat,20/09/1963,Pakistan,9,15,
1462,J W M Dalrymple,21/01/1981,England,,27,3
1463,E L Dalton,02/12/1906,South Africa,15,,
1464,S Dalton,14/02/1992,Czech Republic,,,3
1465,I D A Damarell,21/02/1994,Guernsey,,,27
1466,F Damiao Couana,10/11/1996,Mozambique,,,38
1467,M K P A Dananjaya,04/10/1993,Sri Lanka,6,42,33
1468,P Danci,05/07/1994,Romania,,,4
1469,H Dandapani,25/07/1987,Finland,,,8
1470,H T Dani,24/05/1933,India,1,,
1471,S Daniel,15/03/2004,Sri Lanka,,1,1
1472,W W Daniel,16/01/1956,West Indies,10,18,
1473,J Danikula,20/06/1991,Croatia,,,5
1474,Danish Aziz,20/11/1995,Pakistan,,2,2
1475,Danish Jasnaik,23/02/1990,Bahrain,,,9
1476,I Danladi,04/09/2002,Nigeria,,,38
1477,Danyal Akbar,02/07/1999,Hungary,,,3
1478,Danyal Raja,14/10/2000,Bulgaria,,,11
1479,J W D'Arcy,23/04/1936,New Zealand,5,,
1480,J C Darji,09/08/1987,Tanzania,,,8
1481,J Darling,21/11/1870,Australia,34,,
1482,L S Darling,14/08/1909,Australia,12,,
1483,W M Darling,01/05/1957,Australia,14,18,
1484,K Darmawan,11/06/1996,Indonesia,,,3
1485,D A P Darrell,20/09/1992,Bermuda,,,11
1486,J T Darrell,24/08/2001,Bermuda,,,2
1487,Darwish Rasooli,12/12/1999,Afghanistan,,1,9
1488,S  S Das,05/11/1977,India,23,4,
1489,K Dasan,09/11/1991,Bulgaria,,,10
1490,D Dasgupta,07/06/1977,India,8,5,
1491,P B Dassanayake,11/07/1970,Sri Lanka,11,16,
1492,Davaasuren Jamyansuren,,Mongolia,,,5
1493,J H Davey,03/08/1990,Scotland,,31,31
1494,N A David,26/02/1971,India,,4,
1495,R R David,08/02/1975,Canada,,4,4
1496,T H David,16/03/1996,Australia,,4,54
1497,N Davidovic,29/06/1990,Croatia,,,3
1498,H Davids,19/01/1980,South Africa,,2,9
1499,A K Davidson,14/06/1929,Australia,44,,
1500,B J Davidson,19/03/1976,Serbia,,,4
1501,J J Davidson,15/03/2002,Scotland,,2,1
1502,O Davidson,28/07/2004,Scotland,,1,
1503,A G Davies,14/08/1962,Scotland,,5,
1504,E Q Davies,26/08/1909,South Africa,5,,
1505,S G Davies,15/10/1973,Zimbabwe,,4,
1506,S M Davies,17/06/1986,England,,8,5
1507,N Davin,19/12/1997,Namibia,,9,34
1508,B A Davis,02/05/1940,West Indies,4,,
1509,C A Davis,01/01/1944,West Indies,15,,
1510,H T Davis,30/11/1971,New Zealand,5,11,
1511,I C Davis,25/06/1953,Australia,15,3,
1512,S P Davis,08/11/1959,Australia,1,39,
1513,W W Davis,18/09/1958,West Indies,15,35,
1514,J M Davison,09/05/1970,Canada,,32,5
1515,S Davizi,22/06/1997,Czech Republic,,,32
1516,R Davson,15/02/1978,Bahamas,,,13
1517,D Dawa,05/10/1986,Bhutan,,,5
1518,Dawlat Ahmadzai,05/09/1984,Afghanistan,,3,2
1519,Dawlat Zadran,19/03/1988,Afghanistan,,82,34
1520,J J Dawood,09/05/1982,Canada,,2,
1521,Dawood Ahmadzai,25/02/1994,France,,,27
1522,A C Dawson,27/11/1969,South Africa,2,19,
1523,E W Dawson,13/02/1904,England,5,,
1524,L A Dawson,01/03/1990,England,3,6,11
1525,O C Dawson,01/09/1919,South Africa,9,,
1526,R K J Dawson,04/08/1980,England,7,,
1527,Y P Dayal,08/05/1983,Suriname,,,8
1528,Dayyaan Galiem,02/01/1997,South Africa,,,1
1529,R G De Alwis,15/02/1959,Sri Lanka,11,31,
1530,T B de Bruyn,08/10/1992,South Africa,13,,2
1531,Z de Bruyn,05/07/1975,South Africa,3,,
1532,F I De Caires,12/05/1909,West Indies,3,,
1533,J H De Courcy,18/04/1927,Australia,3,,
1534,P A J De Freitas,18/02/1966,England,44,103,
1535,C de Grandhomme,22/07/1986,New Zealand,29,45,41
1536,R P De Groen,05/08/1962,New Zealand,5,12,
1537,N A De Groot,22/10/1975,Canada,,6,
1538,T N de Grooth,15/05/1979,Netherlands,,34,15
1539,Q de Kock,17/12/1992,South Africa,54,155,92
1540,C D de Lange,11/02/1981,Scotland,,13,8
1541,M de Lange,13/10/1990,South Africa,2,4,6
1542,B F W de Leede,15/10/1999,Netherlands,,47,41
1543,T B M de Leede,25/01/1968,Netherlands,,29,
1544,A L F De Mel,09/05/1959,Sri Lanka,17,57,
1545,J L de Mey,,Netherlands,,,3
1546,S I De Saram,02/09/1973,Sri Lanka,4,15,1
1547,A M de Silva,03/12/1963,Sri Lanka,3,4,
1548,D de Silva,06/09/1991,Sri Lanka,61,90,45
1549,D L S De Silva,17/11/1956,Sri Lanka,,2,
1550,D S De Silva,11/06/1942,Sri Lanka,12,41,
1551,E A R De Silva,28/03/1956,Sri Lanka,10,28,
1552,G N De Silva,12/03/1955,Sri Lanka,,4,
1553,G R A de Silva,12/12/1952,Sri Lanka,4,6,
1554,K S C de Silva,11/01/1971,Sri Lanka,8,38,
1555,P A de Silva,17/10/1965,Sri Lanka,93,308,
1556,P C de Silva,17/01/1990,Sri Lanka,,7,2
1557,S K L de Silva,29/07/1975,Sri Lanka,3,11,
1558,S T de Silva,16/12/1993,Sri Lanka,,,3
1559,S T R A de Silva,09/08/1991,Seychelles,,,12
1560,W R S de Silva,11/10/1979,Sri Lanka,3,,
1561,R de Swardt,21/01/1998,South Africa,2,,
1562,A B de Villiers,17/02/1984,South Africa,114,228,78
1563,J I de Villiers,06/05/2001,Namibia,,4,2
1564,P S De Villiers,13/10/1964,South Africa,18,83,
1565,F de Wet,26/06/1980,South Africa,2,,
1566,T de Zorzi,28/08/1997,South Africa,11,12,
1567,A S Dean,23/02/1983,Canada,,,2
1568,H Dean,13/08/1884,England,3,,
1569,H G Deane,21/07/1895,South Africa,17,,
1570,I Deedar,12/10/2002,Austria,,,10
1571,M H Dekker,05/12/1969,Zimbabwe,14,23,
1572,S Delai,08/01/1991,Fiji,,,1
1573,C J Delany,23/12/1990,Gibraltar,,,13
1574,D C A Delany,28/12/1997,Ireland,,,8
1575,G J Delany,28/04/1997,Ireland,,21,75
1576,Delawar Khan,15/02/1997,Denmark,,,24
1577,A R Dell,06/08/1947,Australia,2,,
1578,D Demba,17/08/2001,Gambia,,,2
1579,C S Dempster,15/11/1903,New Zealand,10,,
1580,E W Dempster,25/01/1925,New Zealand,5,,
1581,Deng Jinqi,02/02/2005,China,,,6
1582,Deniz Mutu,01/04/2004,Turkey,,,1
1583,J L Denly,16/03/1986,England,15,16,13
1584,M H Denness,01/12/1940,England,28,12,
1585,F A Dennis,26/09/1947,Canada,,3,
1586,L Denny,05/10/2005,Cook Islands,,,12
1587,D Denton,04/07/1874,England,11,,
1588,A Denuwan,06/11/2004,Italy,,,3
1589,P Deol,01/01/1992,Cyprus,,,3
1590,N Deonarine,08/08/1983,West Indies,18,31,8
1591,C Depeiza,10/10/1927,West Indies,5,,
1592,J W Dernbach,03/03/1986,England,,24,40
1593,A Desai,18/01/2002,Singapore,,,27
1594,A Desai,13/07/2003,United States,,,1
1595,J H Desai,18/04/1974,United States,,1,
1596,P A Desai,19/04/1990,Canada,,13,1
1597,R B Desai,20/06/1939,India,28,,
1598,T U Deshpande,15/05/1995,India,,,2
1599,P Desungnoen,,Thailand,,,4
1600,S Desungnoen,28/09/2002,Thailand,,,24
1601,A P Devcich,28/09/1985,New Zealand,,12,4
1602,Devender Singh,09/10/1990,Ghana,,,21
1603,D T Dewdney,23/10/1933,West Indies,9,,
1604,J G Dewes,11/10/1926,England,5,,
1605,E R Dexter,15/05/1935,England,62,,
1606,S Dhakal,14/12/2001,Nepal,,8,6
1607,N S Dhaliwal,10/10/1988,Canada,,11,37
1608,S Dhamala,11/01/1997,Nepal,,1,
1609,N Dhambar,19/02/1990,Oman,,10,1
1610,Dhananjay Rao,10/03/2002,Hong Kong,,,8
1611,Dhanesh Shetty,17/02/1993,Indonesia,,,5
1612,S Dhaniram,17/10/1968,Canada,,44,11
1613,R Dhanraj,06/02/1969,West Indies,4,6,
1614,P Dharmani,27/09/1974,India,,1,
1615,H D P K Dharmasena,24/04/1971,Sri Lanka,31,141,
1616,R Dhawan,19/02/1990,India,,3,1
1617,S Dhawan,05/12/1985,India,34,167,68
1618,H S Dhillon,27/10/1976,Canada,,2,
1619,P Dhiman,26/01/1993,Spain,,,4
1620,R Dhiman,04/11/1989,Bulgaria,,,4
1621,Dhiman Ghosh,23/01/1987,Bangladesh,,14,1
1622,A Dhingra,29/06/1998,Luxembourg,,,18
1623,M S Dhoni,07/07/1981,India,90,350,98
1624,Dhruv Parashar,20/12/2004,United Arab Emirates,,4,14
1625,S di Bartolomeo,30/06/1995,Italy,,,7
1626,M J Di Venuto,12/12/1973,Australia,,9,
1627,M T Diaby,01/02/1989,Mali,,,10
1628,S Diaby,07/03/1990,Mali,,,9
1629,M S Diakite,21/09/1999,Mali,,,12
1630,B J Diamanti,30/04/1981,New Zealand,,1,1
1631,B M Diamini,10/09/1998,Eswatini,,,6
1632,L E Diamini,22/01/2001,Eswatini,,,9
1633,W Diamini,02/02/1985,Eswatini,,,8
1634,R Dianish,29/01/1987,Malta,,,5
1635,R L Dias,18/10/1952,Sri Lanka,20,58,
1636,M S Diawara,26/03/1998,Mali,,,10
1637,A E Dick,10/10/1936,New Zealand,17,,
1638,G R Dickinson,11/03/1903,New Zealand,3,,
1639,J Dickinson,14/09/1998,Scotland,,,1
1640,C Dickson,23/11/2002,Cook Islands,,,12
1641,H B Dickson,17/12/2000,Cook Islands,,,9
1642,N Dickwella,23/06/1993,Sri Lanka,54,55,28
1643,Didier Ndikubwimana,28/09/2003,Rwanda,,,82
1644,W P Diepeveen,18/06/1985,Netherlands,,1,
1645,S S Dighe,08/10/1968,India,6,23,
1646,V Dikov,02/04/1995,Bulgaria,,,3
1647,Dilawar Hussain,19/03/1907,India,3,,
1648,L H D Dilhara,03/07/1980,Sri Lanka,,9,2
1649,G R Dilley,18/05/1959,England,41,36,
1650,M V Dillon,05/06/1974,West Indies,38,108,
1651,Dilpreet Bajwa,01/04/2001,Canada,,5,12
1652,B I Dilruksha,01/06/1992,South Korea,,,5
1653,T M Dilshan,14/10/1976,Sri Lanka,87,330,80
1654,S D J J Dima,01/01/2000,Mozambique,,,15
1655,P K Dimitri,06/07/1983,Ivory Coast,,,5
1656,A B Dinda,25/03/1984,India,,13,9
1657,N Dipakkumar Patel,07/07/1988,Panama,,,3
1658,Dipanjan Dey,01/07/1991,Sweden,,,6
1659,H H Dippenaar,14/06/1977,South Africa,38,107,1
1660,A E Dipper,09/11/1885,England,1,,
1661,R V Divecha,18/10/1927,India,5,,
1662,Y Divekar,08/11/1996,Israel,,,3
1663,A Dixit,25/04/1999,Singapore,,,14
1664,M Dixit,21/07/1992,Luxembourg,,,28
1665,C D Dixon,12/02/1891,South Africa,1,,
1666,O F Djakaridja,04/04/2001,Ivory Coast,,,5
1667,Djordje Tresac,10/10/1985,Serbia,,,1
1668,A Djorovic,15/06/1993,Serbia,,,11
1669,T W Dlamini,02/11/1997,Eswatini,,,6
1670,K Dobell,21/01/2003,Japan,,,3
1671,G H Dockrell,22/07/1992,Ireland,2,127,141
1672,J E A Doctora,24/05/1997,Philippines,,,10
1673,A I C Dodemaide,05/10/1963,Australia,10,24,
1674,G H G Doggart,18/07/1925,England,2,,
1675,S T Doheny,20/08/1998,Ireland,,11,3
1676,X J Doherty,22/11/1982,Australia,4,60,11
1677,Dolar Mahmud,30/12/1988,Bangladesh,,7,
1678,B L D'Oliveira,04/10/1931,England,44,4,
1679,H E Dollery,14/10/1914,England,4,,
1680,A Dolphin,24/12/1885,England,1,,
1681,A A Donald,20/10/1966,South Africa,72,164,
1682,H Donnan,12/11/1864,Australia,5,,
1683,M P Donnelly,17/10/1917,New Zealand,7,,
1684,A Donovan,03/12/2001,Philippines,,,3
1685,A J Doolan,29/11/1985,Australia,4,,
1686,B Dooland,01/11/1923,Australia,3,,
1687,D T Doram,13/10/1997,Netherlands,,,6
1688,A D V Dore,27/05/1997,Bermuda,,,6
1689,B R Dorey,03/10/1977,Australia,,4,
1690,M R Dorgan,18/06/1988,Serbia,,,3
1691,A Doria,13/03/1983,Panama,,,3
1692,K Doriga,18/10/1995,Papua New Guinea,,39,42
1693,J N Dorji,28/04/1997,Bhutan,,,9
1694,K Dorji,20/11/2002,Bhutan,,,5
1695,R M Dorji,23/08/1986,Bhutan,,,26
1696,D R Doshi,22/12/1947,India,33,15,
1697,A C Douglas,11/05/1987,Bermuda,,,21
1698,C R M Douglas,20/11/1989,Bermuda,,2,
1699,J W H Douglas,03/09/1882,England,23,,
1700,M W Douglas,20/10/1968,New Zealand,,6,
1701,S B Doull,06/08/1969,New Zealand,32,42,
1702,U G Dowe,29/03/1949,West Indies,4,,
1703,R R Dower,04/06/1876,South Africa,1,,
1704,T M Dowlin,24/02/1977,West Indies,6,11,2
1705,A Dowling,29/12/2006,Bulgaria,,,1
1706,G T Dowling,04/03/1937,New Zealand,39,,
1707,P R Downton,04/04/1957,England,30,28,
1708,S O Dowrich,30/10/1991,West Indies,35,1,
1709,D Doyle-Calle,06/07/1998,Spain,,,30
1710,T J Draca,23/10/2000,Italy,,,4
1711,R Drake,09/10/2002,Japan,,,14
1712,D C Drakes,06/02/1998,West Indies,,3,10
1713,V C Drakes,05/08/1969,West Indies,12,34,
1714,R G Draper,24/12/1926,South Africa,2,,
1715,S Draunivudi,15/06/1971,Fiji,,,3
1716,R Dravid,11/01/1973,India,164,344,1
1717,N F Druce,01/01/1875,England,5,,
1718,C J Drum,10/07/1974,New Zealand,5,5,
1719,G D Drummond,21/04/1980,Scotland,,30,17
1720,J Drysdale,05/01/1992,United States,,4,8
1721,D D P D'Silva,16/04/1998,United Arab Emirates,,6,10
1722,A D'Souza,17/01/1939,Pakistan,6,,
1723,E C D'Souza,,United Arab Emirates,,3,
1724,K C D'Souza,16/09/1998,Bulgaria,,,36
1725,F du Plessis,13/07/1984,South Africa,69,143,50
1726,J H Du Preez,14/11/1942,South Africa,2,,
1727,M du Preez,03/01/1996,Namibia,,3,3
1728,J F Du Toit,05/04/1868,South Africa,1,,
1729,S Dube,26/06/1993,India,,4,33
1730,A Ducat,16/02/1886,England,1,,
1731,B M Duckett,17/10/1994,England,32,16,12
1732,C A R Duckworth,22/03/1933,South Africa,2,,
1733,G Duckworth,09/05/1901,England,24,,
1734,T A Dudnath,19/03/1990,Suriname,,,2
1735,K G Duers,30/06/1960,Zimbabwe,,6,
1736,E Duff,18/09/1988,Bahamas,,,5
1737,O Duff,18/06/2009,Bulgaria,,,2
1738,R A Duff,17/08/1878,Australia,22,,
1739,T Duffin,20/03/1982,Zimbabwe,2,23,
1740,J A Duffy,02/08/1994,New Zealand,,10,18
1741,S Duggan,28/11/1995,Argentina,,,7
1742,B Dugic,25/12/1992,Serbia,,,11
1743,P J L Dujon,28/05/1956,West Indies,81,169,
1744,S F Dukanwala,21/01/1957,United Arab Emirates,,5,
1745,K S Duleepsinhji,13/06/1905,England,12,,
1746,R Dumbrill,19/11/1938,South Africa,5,,
1747,J P Duminy,16/12/1897,South Africa,3,,
1748,J-P Duminy,14/04/1984,South Africa,46,199,81
1749,Dumon Dewald,18/01/2001,Belgium,,,10
1750,L A Dunbar,02/01/1990,Serbia,,,29
1751,J R F Duncan,25/03/1944,Australia,1,,
1752,O R Dunell,15/07/1856,South Africa,2,,
1753,J S E Dunford,24/06/1994,Jersey,,5,36
1754,B R Dunk,11/03/1987,Australia,,,5
1755,R O C Dunka,06/09/1990,Cayman Islands,,,10
1756,J Dunn,04/06/1989,Vanuatu,,,4
1757,J A Dunning,06/02/1903,New Zealand,4,,
1758,C I Dunusinghe,19/10/1970,Sri Lanka,5,1,
1759,D M Dupavillon,15/07/1994,South Africa,,2,
1760,S A Durani,11/12/1934,India,29,,
1761,H Durham,14/08/1971,Bermuda,,9,
1762,A B Dursak,07/08/2001,Turkey,,,4
1763,F J Durston,11/07/1893,England,1,,
1764,E Dusingizimana,21/03/1987,Rwanda,,,62
1765,G Dutta,04/08/1984,Mexico,,,7
1766,N Dutta,13/10/1994,Canada,,7,25
1767,Duvvarapu Siva Kumar,11/02/1990,United States,,,1
1768,B J Dwarshuis,23/06/1994,Australia,,1,3
1769,V Dwivedi,17/08/1992,Estonia,,,2
1770,D V Dyer,02/05/1914,South Africa,3,,
1771,G C Dyer,16/03/1959,Australia,6,23,
1772,N R Dyer,10/10/1969,Scotland,,5,
1773,G Dymock,21/07/1945,Australia,21,15,
1774,J Dyson,11/06/1954,Australia,30,29,
1775,J Dzulfikar,23/08/1999,Indonesia,,,7
1776,No. of Records = 328,,,,,
1777,,,,Detailed Profiles & Statistics,,
1778,Name,Born,Country (Current),Tests,ODIs,T20s
1779,C J Eady,29/10/1870,Australia,2,,
1780,P S Eaglestone,17/06/1982,Ireland,,1,1
1781,M A Ealham,27/08/1969,England,8,64,
1782,K H Eastwood,23/11/1935,Australia,1,,
1783,Ebadat Hossain,07/01/1994,Bangladesh,20,12,4
1784,K R Ebanks,09/01/1989,Cayman Islands,,,5
1785,R Ebanks,21/04/1983,Cayman Islands,,,6
1786,H I Ebelling,01/06/1905,Australia,1,,
1787,D D Ebrahim,07/08/1980,Zimbabwe,29,82,
1788,D Eckstein,20/07/1976,Austria,,,1
1789,B A Edgar,23/11/1956,New Zealand,39,64,
1790,P H Edmonds,08/03/1951,England,51,29,
1791,J Edness,13/09/1983,Bermuda,,11,3
1792,J H Edrich,21/06/1937,England,77,7,
1793,W J Edrich,26/03/1916,England,39,,
1794,F H Edwards,06/02/1982,West Indies,55,50,26
1795,G N Edwards,27/05/1955,New Zealand,8,6,
1796,J D Edwards,12/06/1862,Australia,3,,
1797,K A Edwards,03/11/1984,West Indies,17,16,
1798,R Edwards,01/12/1942,Australia,20,9,
1799,R M Edwards,03/06/1940,West Indies,5,,
1800,S A Edwards,23/08/1996,Netherlands,,59,71
1801,W J Edwards,23/12/1949,Australia,3,1,
1802,Ehsan Adil,15/03/1993,Pakistan,3,6,
1803,Ehsan Karimi,17/02/2005,Denmark,,,8
1804,Ehsan Khan,27/12/1984,Hong Kong,,15,78
1805,Ehsan Nawaz,21/03/1995,Hong Kong,,12,6
1806,Ehsanul Haque,01/12/1979,Bangladesh,1,6,
1807,Ehteshamuddin,04/09/1950,Pakistan,5,,
1808,N H Ekanayake,08/11/1977,Bahamas,,,4
1809,C E Eksteen,02/12/1966,South Africa,7,6,
1810,D Elgar,11/06/1987,South Africa,86,8,
1811,M K Elgie,06/03/1933,South Africa,3,,
1812,Elias Sunny,01/01/1986,Bangladesh,4,4,7
1813,J K P Ellick,11/02/1988,St Helena,,,2
1814,G D Elliott,21/03/1979,New Zealand,5,83,17
1815,H Elliott,02/11/1891,England,4,,
